proximity,temporal,trajectory,ais_gap,behavioral,is_culprit
0.1814811628513625,0.38592033835802386,0.4316813818713378,0.1692425840497844,0.49038209919230774,0
0.5478637908678906,0.3366523310390526,0.23527051091649032,0.13727120646034777,0.3645248536920208,0
0.8315716734038873,0.6238711586438274,0.6990221276652158,0.8689977028660179,0.5094950382721,1
0.14036140491799404,0.3720859616892868,0.3190965522581196,0.2537603834205284,0.4247158970388948,0
0.5795642598885082,0.427716457474308,0.4334660295421329,0.12918356554127128,0.18089432781115705,0
0.1826105847031645,0.20559983247218055,0.37858567431269263,0.03684197597803007,0.21685058633976412,0
0.3446902106637151,0.3455795683552143,0.25549817417749676,0.12490448918898611,0.2131756534814041,0
0.7147113304937078,0.6609120127427157,0.3011020055306019,0.2495811807168445,0.05780919753964786,0
0.25382838545625674,0.2903783483675422,0.5197854947300196,0.10018214615860269,0.24151713213135217,0
0.41558809540784747,0.42902616803407734,0.07237719959419424,0.3305363202027333,0.3015300642054637,0
0.43605440517317196,0.23993468364201587,0.18247247341631045,0.16680888440988065,0.3406503828963983,0
0.70036547343614,0.35729563623460775,0.40158826977736334,0.23437462102488515,0.31245175104779993,0
0.5397512407902599,0.5896397063341801,0.04991699299946326,0.3054731365773353,0.121833187268437,0
0.1553783684630167,0.4007198702440311,0.05742750996743226,0.35413073051005584,0.31362448602563436,0
0.5787330865519639,0.01129044468651178,0.3566591276670255,0.2227140769577155,0.07947982207236137,0
0.12245641209981849,0.4868706701396376,0.1912598558291258,0.27678811821272786,0.27719162485888604,0
0.8166851722369434,0.9700529958455945,0.9208349984563582,0.6786987833415881,0.42615487827942433,1
0.31854854553438483,0.4934711813159535,0.5972150892204104,0.14236594628698382,0.3812739068927169,0
0.47454153324977694,0.48419125909012395,0.09067647140884813,0.15955051709046264,0.12042794886181224,0
0.27476481123866,0.3591897079393015,0.399974730098443,0.042363394022725535,0.06544747533204037,0
0.7965941819404924,0.8646257346664974,0.923253112635361,0.7766286723983566,0.9126714925147028,1
0.3078702490206089,0.2217515279828658,0.2125588053550071,0.06843273168203963,0.4145563172509452,0
